Region,Feature,U_statistic,AUC,p_value,hup_n,mni_n,p_value_bonferroni_threshold,significant_bonferroni,p_value_fdr,significant_fdr
ctx-lh-superiortemporal,alphaRel_mean,62.0,0.22142857142857142,0.006689169375402693,14,20,0.00021645021645021645,False,0.24099587866657926,False
ctx-lh-superiortemporal,betaRel_mean,106.0,0.37857142857142856,0.24109436930573114,14,20,0.00021645021645021645,False,0.6475906896467895,False
ctx-lh-superiortemporal,gammaRel_mean,181.0,0.6464285714285715,0.15642306474451056,14,20,0.00021645021645021645,False,0.5610062261172836,False
ctx-lh-superiortemporal,entropy_1min_mean,153.0,0.5464285714285714,0.6618148433738997,14,20,0.00021645021645021645,False,0.8940305778910576,False
ctx-lh-superiortemporal,entropy_fullts_mean,153.0,0.5464285714285714,0.6618148433738997,14,20,0.00021645021645021645,False,0.8940305778910576,False
ctx-rh-bankssts,deltaRel_mean,24.0,0.8,0.12554112554112554,6,5,0.00021645021645021645,False,0.5175949042849266,False
ctx-rh-bankssts,thetaRel_mean,16.0,0.5333333333333333,0.9307359307359306,6,5,0.00021645021645021645,False,0.9680799878346843,False
ctx-rh-bankssts,alphaRel_mean,7.0,0.23333333333333334,0.17748917748917747,6,5,0.00021645021645021645,False,0.5925155925155926,False
ctx-rh-bankssts,betaRel_mean,6.0,0.2,0.12554112554112554,6,5,0.00021645021645021645,False,0.5175949042849266,False
ctx-rh-bankssts,gammaRel_mean,10.0,0.3333333333333333,0.42857142857142855,6,5,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-bankssts,entropy_1min_mean,17.0,0.5666666666666667,0.7922077922077921,6,5,0.00021645021645021645,False,0.9416814094058678,False
ctx-rh-bankssts,entropy_fullts_mean,17.0,0.5666666666666667,0.7922077922077921,6,5,0.00021645021645021645,False,0.9416814094058678,False
ctx-lh-parstriangularis,deltaRel_mean,72.0,0.5950413223140496,0.4701007598741287,11,11,0.00021645021645021645,False,0.7541199689647481,False
ctx-lh-parstriangularis,thetaRel_mean,76.0,0.628099173553719,0.32463627173040743,11,11,0.00021645021645021645,False,0.6978025798544186,False
ctx-lh-parstriangularis,alphaRel_mean,90.0,0.743801652892562,0.056873036034794405,11,11,0.00021645021645021645,False,0.42898198953074085,False
ctx-lh-parstriangularis,betaRel_mean,37.0,0.30578512396694213,0.13096810379821186,11,11,0.00021645021645021645,False,0.5175949042849266,False
ctx-lh-parstriangularis,gammaRel_mean,81.0,0.6694214876033058,0.18908180596451618,11,11,0.00021645021645021645,False,0.5925155925155926,False
ctx-lh-parstriangularis,entropy_1min_mean,63.0,0.5206611570247934,0.8955142436987509,11,11,0.00021645021645021645,False,0.9596774193548387,False
ctx-lh-parstriangularis,entropy_fullts_mean,63.0,0.5206611570247934,0.8955142436987509,11,11,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-inferiorparietal,deltaRel_mean,98.0,0.5764705882352941,0.5302525390234989,10,17,0.00021645021645021645,False,0.8133469556876581,False
ctx-rh-inferiorparietal,thetaRel_mean,87.0,0.5117647058823529,0.9399645113416611,10,17,0.00021645021645021645,False,0.969338402321088,False
ctx-rh-inferiorparietal,alphaRel_mean,84.0,0.49411764705882355,0.979971353786402,10,17,0.00021645021645021645,False,0.9885300555661959,False
ctx-rh-inferiorparietal,betaRel_mean,79.0,0.4647058823529412,0.7824305201097079,10,17,0.00021645021645021645,False,0.9416814094058678,False
ctx-rh-inferiorparietal,gammaRel_mean,75.0,0.4411764705882353,0.6333680868055622,10,17,0.00021645021645021645,False,0.8867153215277871,False
ctx-rh-inferiorparietal,entropy_1min_mean,122.0,0.7176470588235294,0.06685433603076481,10,17,0.00021645021645021645,False,0.42898198953074085,False
ctx-rh-inferiorparietal,entropy_fullts_mean,122.0,0.7176470588235294,0.06685433603076481,10,17,0.00021645021645021645,False,0.42898198953074085,False
ctx-rh-medialorbitofrontal,deltaRel_mean,34.0,0.68,0.3096903096903097,5,10,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-medialorbitofrontal,thetaRel_mean,36.0,0.72,0.20646020646020646,5,10,0.00021645021645021645,False,0.5961538461538461,False
ctx-rh-medialorbitofrontal,alphaRel_mean,18.0,0.36,0.43956043956043955,5,10,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-medialorbitofrontal,betaRel_mean,11.0,0.22,0.09923409923409923,5,10,0.00021645021645021645,False,0.5038067844029868,False
ctx-rh-medialorbitofrontal,gammaRel_mean,23.0,0.46,0.8591408591408591,5,10,0.00021645021645021645,False,0.9596774193548387,False
ctx-rh-medialorbitofrontal,entropy_1min_mean,21.0,0.42,0.6786546786546787,5,10,0.00021645021645021645,False,0.9061805246776345,False
ctx-rh-medialorbitofrontal,entropy_fullts_mean,21.0,0.42,0.6786546786546787,5,10,0.00021645021645021645,False,0.9061805246776345,False
ctx-rh-postcentral,deltaRel_mean,58.0,0.38666666666666666,0.36005760708224843,10,15,0.00021645021645021645,False,0.7108829678290547,False
ctx-rh-postcentral,thetaRel_mean,55.0,0.36666666666666664,0.2794012405091344,10,15,0.00021645021645021645,False,0.6865466022991971,False
ctx-rh-postcentral,alphaRel_mean,62.0,0.41333333333333333,0.4880740931652481,10,15,0.00021645021645021645,False,0.7775525208356712,False
ctx-rh-postcentral,betaRel_mean,95.0,0.6333333333333333,0.2794012405091344,10,15,0.00021645021645021645,False,0.6865466022991971,False
ctx-rh-postcentral,gammaRel_mean,93.0,0.62,0.3316850680568625,10,15,0.00021645021645021645,False,0.6978025798544186,False
ctx-rh-postcentral,entropy_1min_mean,122.0,0.8133333333333334,0.009898474318934841,10,15,0.00021645021645021645,False,0.24099587866657926,False
ctx-rh-postcentral,entropy_fullts_mean,122.0,0.8133333333333334,0.009898474318934841,10,15,0.00021645021645021645,False,0.24099587866657926,False
ctx-rh-caudalmiddlefrontal,deltaRel_mean,61.0,0.6224489795918368,0.4002579979360166,7,14,0.00021645021645021645,False,0.7479128162641004,False
ctx-rh-caudalmiddlefrontal,thetaRel_mean,51.0,0.5204081632653061,0.91312349501204,7,14,0.00021645021645021645,False,0.9601463551927949,False
ctx-rh-caudalmiddlefrontal,alphaRel_mean,65.0,0.6632653061224489,0.25452356381148955,7,14,0.00021645021645021645,False,0.6681243550051601,False
ctx-rh-caudalmiddlefrontal,betaRel_mean,24.0,0.24489795918367346,0.06668386652906777,7,14,0.00021645021645021645,False,0.42898198953074085,False
ctx-rh-caudalmiddlefrontal,gammaRel_mean,29.0,0.29591836734693877,0.14895080839353286,7,14,0.00021645021645021645,False,0.5461529641096206,False
ctx-rh-caudalmiddlefrontal,entropy_1min_mean,58.0,0.5918367346938775,0.5352597179222567,7,14,0.00021645021645021645,False,0.8133469556876581,False
ctx-rh-caudalmiddlefrontal,entropy_fullts_mean,58.0,0.5918367346938775,0.5352597179222567,7,14,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-medialorbitofrontal,deltaRel_mean,40.0,0.6060606060606061,0.5248868778280543,6,11,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-medialorbitofrontal,thetaRel_mean,50.0,0.7575757575757576,0.0982546864899806,6,11,0.00021645021645021645,False,0.5038067844029868,False
ctx-lh-medialorbitofrontal,alphaRel_mean,40.0,0.6060606060606061,0.5248868778280543,6,11,0.00021645021645021645,False,0.8133469556876581,False
ctx-lh-medialorbitofrontal,betaRel_mean,24.0,0.36363636363636365,0.4043309631544926,6,11,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-medialorbitofrontal,gammaRel_mean,38.0,0.5757575757575758,0.6604718810601163,6,11,0.00021645021645021645,False,0.8940305778910576,False
ctx-lh-medialorbitofrontal,entropy_1min_mean,37.0,0.5606060606060606,0.732546864899806,6,11,0.00021645021645021645,False,0.9283209832681995,False
ctx-lh-medialorbitofrontal,entropy_fullts_mean,37.0,0.5606060606060606,0.732546864899806,6,11,0.00021645021645021645,False,0.9283209832681995,False
ctx-lh-postcentral,deltaRel_mean,21.0,0.42857142857142855,0.7103729603729605,7,7,0.00021645021645021645,False,0.9199744878626926,False
ctx-lh-postcentral,thetaRel_mean,31.0,0.6326530612244898,0.45571095571095577,7,7,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-postcentral,alphaRel_mean,23.0,0.46938775510204084,0.9015151515151516,7,7,0.00021645021645021645,False,0.9596774193548387,False
ctx-lh-postcentral,betaRel_mean,18.0,0.3673469387755102,0.45571095571095577,7,7,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-postcentral,gammaRel_mean,37.0,0.7551020408163265,0.12820512820512822,7,7,0.00021645021645021645,False,0.5175949042849266,False
ctx-lh-postcentral,entropy_1min_mean,31.0,0.6326530612244898,0.45571095571095577,7,7,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-postcentral,entropy_fullts_mean,31.0,0.6326530612244898,0.45571095571095577,7,7,0.00021645021645021645,False,0.7479128162641004,False
ctx-lh-fusiform,deltaRel_mean,64.0,0.8205128205128205,0.02852720035382574,13,6,0.00021645021645021645,False,0.3876343106902203,False
ctx-lh-fusiform,thetaRel_mean,15.0,0.19230769230769232,0.03648827952233525,13,6,0.00021645021645021645,False,0.4019356859345786,False
