mni_x,mni_y,mni_z,x,y,z,roiNum,snum,abvr,lobe,isSideLeft
-44.47385,23.1721,-27.85511971722255,-44.47385,23.1721,-27.85511971722255,1030,43,SpTmp_L,Temporal,1
-49.07455,-23.722050000000003,5.579798405008679,-49.07455,-23.722050000000003,5.579798405008679,1034,47,TrTem_L,Temporal,1
-63.02705,-15.1967,3.922630595058075,-63.02705,-15.1967,3.922630595058075,1030,43,SpTmp_L,Temporal,1
24.352,-1.3814505000000001,-22.587560905074398,24.352,-1.3814505,-22.5875609050744,54,13,Amy_R,Subcortical,0
53.295550000000006,2.4668550000000002,-22.101724806733948,53.295550000000006,2.466855,-22.101724806733948,2015,62,MTem_R,Temporal,0
27.47935,-15.222249999999999,-11.0928237586924,27.47935,-15.22225,-11.0928237586924,53,12,Hip_R,Subcortical,0
33.50705,-18.9292,-11.47315597264505,33.50705,-18.9292,-11.47315597264505,53,12,Hip_R,Subcortical,0
29.958150000000003,-28.4521,-11.0094898140907,29.958150000000003,-28.4521,-11.0094898140907,53,12,Hip_R,Subcortical,0
35.31965,-32.28705,-8.413436424856165,35.31965,-32.28705,-8.413436424856165,53,12,Hip_R,Subcortical,0
53.3273,-45.23695,0.4218593367384915,53.3273,-45.23695,0.4218593367384915,2015,62,MTem_R,Temporal,0
57.3044,-48.2521,0.8856051464423466,57.3044,-48.2521,0.8856051464423466,2015,62,MTem_R,Temporal,0
26.72685,-61.51090000000001,0.0019616690583949548,26.72685,-61.51090000000001,0.0019616690583949,2013,60,Ling_R,Occipital,0
32.49035,-64.54735,1.8728378338740526,32.49035,-64.54735,1.8728378338740528,2013,60,Ling_R,Occipital,0
37.24035,-65.9742,3.3631536820264447,37.24035,-65.9742,3.3631536820264447,2011,58,LOcc_R,Occipital,0
44.55265,-70.8843,5.996857098913106,44.55265,-70.8843,5.996857098913106,2011,58,LOcc_R,Occipital,0
48.13195,-74.4998,7.1424513595777,48.13195,-74.4998,7.1424513595777,2011,58,LOcc_R,Occipital,0
43.437349999999995,-11.057549999999999,5.19744773737962,43.437349999999995,-11.05755,5.19744773737962,2035,82,Ins_R,Subcortical,0
42.36825,-11.25485,10.622143177365604,42.36825,-11.25485,10.622143177365604,2035,82,Ins_R,Subcortical,0
41.861850000000004,-11.85525,16.2445788178111,41.86185,-11.85525,16.2445788178111,2022,69,PsCtr_R,Parietal,0
39.888149999999996,-10.82915,37.68426988472355,39.88815,-10.82915,37.68426988472355,2024,71,PreCt_R,Frontal,0
39.9957,-12.3808,41.890428968427955,39.9957,-12.3808,41.890428968427955,2024,71,PreCt_R,Frontal,0
40.510400000000004,9.128250000000001,6.018347751019095,40.5104,9.12825,6.018347751019095,2018,65,ParOpr_R,Frontal,0
39.4833,10.63392,11.77209515668889,39.4833,10.63392,11.77209515668889,2018,65,ParOpr_R,Frontal,0
37.7658,7.57372,29.760401549829048,37.7658,7.57372,29.760401549829048,2003,51,CaMFr_R,Frontal,0
36.40505,4.348445,39.20547686475285,36.40505,4.348445,39.20547686475285,2003,51,CaMFr_R,Frontal,0
35.202650000000006,1.8707,45.546256716608,35.202650000000006,1.8707,45.546256716608,2003,51,CaMFr_R,Frontal,0
-25.8203,-3.085425,-28.5695402705665,-25.8203,-3.085425,-28.5695402705665,18,6,Amy_L,Subcortical,1
-30.298199999999998,-3.78557,-31.510872534269303,-30.2982,-3.78557,-31.510872534269303,1006,19,Ethr_L,Temporal,1
-37.21639999999999,-4.255575,-32.8157709091622,-37.21639999999999,-4.255575,-32.8157709091622,1007,20,Fusi_L,Temporal,1
-48.99495,-5.50831,-30.41237859411135,-48.99495,-5.50831,-30.41237859411135,1015,28,MTem_L,Temporal,1
-54.63135,-5.893565000000001,-28.8627992260943,-54.63135,-5.893565000000001,-28.8627992260943,1015,28,MTem_L,Temporal,1
-28.9461,-32.77615,-12.86859082342625,-28.9461,-32.77615,-12.86859082342625,17,5,Hip_L,Subcortical,1
-34.160799999999995,-31.441950000000002,-15.035102134620999,-34.160799999999995,-31.44195,-15.035102134621,1016,29,ParHip_L,Temporal,1
-56.879149999999996,-22.84395,-17.520436800461198,-56.87915,-22.84395,-17.520436800461198,1015,28,MTem_L,Temporal,1
-62.878699999999995,-22.6021,-19.16304892341615,-62.878699999999995,-22.6021,-19.16304892341615,1015,28,MTem_L,Temporal,1
-29.5961,-44.64825,-6.750345123163195,-29.5961,-44.64825,-6.750345123163195,1016,29,ParHip_L,Temporal,1
-33.887,-49.346149999999994,-8.586574851640215,-33.887,-49.346149999999994,-8.586574851640215,1007,20,Fusi_L,Temporal,1
-39.1211,-59.109750000000005,-9.63193334357437,-39.1211,-59.109750000000005,-9.63193334357437,1007,20,Fusi_L,Temporal,1
-43.1234,-63.99025,-8.580393934259725,-43.1234,-63.99025,-8.580393934259725,1007,20,Fusi_L,Temporal,1
-47.100849999999994,-67.19659999999999,-8.796618251378,-47.100849999999994,-67.19659999999999,-8.796618251378,1007,20,Fusi_L,Temporal,1
